estacion,bit,delta_ppb,umbral_p95_ppb,n_ataques,n_dano_banda,n_detectados,n_dano_detectado,n_dano_no_detectado,pct_dano,pct_dano_detectado,pct_dano_no_detectado,dias_disponibles,dias_vulnerables,dias_no_detectados,pct_dias_vulnerables,pct_dias_dano_no_detectado,falsas_fase1,anuladas_fase1,cruces_fase2_arriba,cruces_fase2_abajo
ACO,3,8,13.899093627929688,59,0,18,0,0,0.0,0.0,0.0,4,0,0,0.0,0.0,0,0,0,0
ACO,4,16,13.899093627929688,59,2,22,0,2,3.389830508474576,0.0,100.0,4,2,2,50.0,50.0,0,0,0,0
ACO,5,32,13.899093627929688,59,7,58,6,1,11.864406779661017,85.71428571428571,14.285714285714286,4,2,1,50.0,25.0,0,0,0,0
ACO,6,64,13.899093627929688,59,59,59,59,0,100.0,100.0,0.0,4,3,0,75.0,0.0,0,0,0,0
ACO,7,128,13.899093627929688,59,59,59,59,0,100.0,100.0,0.0,4,3,0,75.0,0.0,17,0,0,0
AJM,3,8,32.16828536987305,1671,189,135,32,157,11.310592459605028,16.93121693121693,83.06878306878306,73,64,61,87.67123287671232,83.56164383561644,0,0,0,0
AJM,4,16,32.16828536987305,1671,233,211,50,183,13.943746259724715,21.459227467811157,78.54077253218884,73,65,61,89.04109589041096,83.56164383561644,2,0,0,0
AJM,5,32,32.16828536987305,1671,513,577,257,256,30.700179533213646,50.097465886939574,49.902534113060426,73,71,63,97.26027397260275,86.3013698630137,7,0,0,0
AJM,6,64,32.16828536987305,1671,1671,1590,1590,81,100.0,95.15260323159785,4.847396768402154,73,72,26,98.63013698630137,35.61643835616438,7,0,3,0
AJM,7,128,32.16828536987305,1671,1671,1671,1671,0,100.0,100.0,0.0,73,72,0,98.63013698630137,0.0,1134,0,254,0
ATI,3,8,23.84806251525879,1681,141,236,40,101,8.387864366448543,28.368794326241133,71.63120567375887,72,61,53,84.72222222222223,73.61111111111111,0,0,0,0
ATI,4,16,23.84806251525879,1681,145,470,56,89,8.625817965496728,38.62068965517241,61.37931034482759,72,61,53,84.72222222222223,73.61111111111111,0,0,0,0
ATI,5,32,23.84806251525879,1681,371,1384,297,74,22.070196311719215,80.05390835579514,19.946091644204852,72,71,38,98.61111111111111,52.77777777777778,0,0,0,0
ATI,6,64,23.84806251525879,1681,1681,1661,1661,20,100.0,98.81023200475907,1.189767995240928,72,71,11,98.61111111111111,15.277777777777779,0,0,0,0
ATI,7,128,23.84806251525879,1681,1681,1681,1681,0,100.0,100.0,0.0,72,71,0,98.61111111111111,0.0,696,0,126,0
BJU,3,8,22.23162269592285,478,29,58,10,19,6.066945606694561,34.48275862068966,65.51724137931035,21,15,12,71.42857142857143,57.142857142857146,0,0,0,0
BJU,4,16,22.23162269592285,478,41,108,14,27,8.577405857740585,34.146341463414636,65.85365853658537,21,19,17,90.47619047619048,80.95238095238095,0,0,0,0
BJU,5,32,22.23162269592285,478,102,426,86,16,21.338912133891213,84.31372549019608,15.686274509803921,21,21,9,100.0,42.857142857142854,0,0,0,0
