bit,delta_ppb,percentil,umbral_ppb,recall_%,precision_%,f2_%,fp
3,8,90,17.2,16.7,4.9,11.3,252
3,8,95,22.6,9.0,5.1,7.8,131
3,8,97,26.9,2.6,2.4,2.5,83
3,8,99,36.6,2.6,5.3,2.9,36
4,16,90,17.2,33.3,9.4,22.0,252
4,16,95,22.6,20.5,10.9,17.4,131
4,16,97,26.9,11.5,9.8,11.1,83
4,16,99,36.6,5.1,10.0,5.7,36
5,32,90,17.2,89.7,21.7,55.2,252
5,32,95,22.6,84.6,33.5,64.8,131
5,32,97,26.9,67.9,39.0,59.2,83
5,32,99,36.6,20.5,30.8,22.0,36
6,64,90,17.2,100.0,23.6,60.7,252
6,64,95,22.6,98.7,37.0,74.0,131
6,64,97,26.9,98.7,48.1,81.6,83
6,64,99,36.6,97.4,67.9,89.6,36
7,128,90,17.2,100.0,23.6,60.7,252
7,128,95,22.6,100.0,37.3,74.9,131
7,128,97,26.9,100.0,48.4,82.5,83
7,128,99,36.6,100.0,68.4,91.5,36
