bit,delta_ppb,modelo,ataques_test,detectados,falsos_pos,recall_%,precision_%,f2_%
0,1,DecisionTree,70,2,10,2.9,16.7,3.4
0,1,RandomForest,70,2,14,2.9,12.5,3.4
0,1,KNeighbors,70,0,2,0.0,0.0,0.0
1,2,DecisionTree,70,4,10,5.7,28.6,6.8
1,2,RandomForest,70,3,12,4.3,20.0,5.1
1,2,KNeighbors,70,3,3,4.3,50.0,5.2
2,4,DecisionTree,70,3,10,4.3,23.1,5.1
2,4,RandomForest,70,3,10,4.3,23.1,5.1
2,4,KNeighbors,70,1,8,1.4,11.1,1.7
3,8,DecisionTree,70,3,17,4.3,15.0,5.0
3,8,RandomForest,70,3,13,4.3,18.8,5.1
3,8,KNeighbors,70,0,4,0.0,0.0,0.0
4,16,DecisionTree,70,6,18,8.6,25.0,9.9
4,16,RandomForest,70,6,19,8.6,24.0,9.8
4,16,KNeighbors,70,1,8,1.4,11.1,1.7
5,32,DecisionTree,70,29,24,41.4,54.7,43.5
5,32,RandomForest,70,29,27,41.4,51.8,43.2
5,32,KNeighbors,70,25,12,35.7,67.6,39.4
6,64,DecisionTree,70,51,6,72.9,89.5,75.7
6,64,RandomForest,70,51,4,72.9,92.7,76.1
6,64,KNeighbors,70,50,4,71.4,92.6,74.9
7,128,DecisionTree,70,68,2,97.1,97.1,97.1
7,128,RandomForest,70,69,0,98.6,100.0,98.9
7,128,KNeighbors,70,69,0,98.6,100.0,98.9
8,256,DecisionTree,70,70,0,100.0,100.0,100.0
8,256,RandomForest,70,70,0,100.0,100.0,100.0
8,256,KNeighbors,70,70,0,100.0,100.0,100.0
9,512,DecisionTree,70,70,0,100.0,100.0,100.0
9,512,RandomForest,70,70,0,100.0,100.0,100.0
9,512,KNeighbors,70,70,0,100.0,100.0,100.0
10,1024,DecisionTree,70,70,0,100.0,100.0,100.0
10,1024,RandomForest,70,70,0,100.0,100.0,100.0
10,1024,KNeighbors,70,70,0,100.0,100.0,100.0
11,2048,DecisionTree,70,70,0,100.0,100.0,100.0
11,2048,RandomForest,70,70,0,100.0,100.0,100.0
11,2048,KNeighbors,70,70,0,100.0,100.0,100.0
12,4096,DecisionTree,70,70,0,100.0,100.0,100.0
12,4096,RandomForest,70,70,0,100.0,100.0,100.0
12,4096,KNeighbors,70,70,0,100.0,100.0,100.0
