estacion,n_train,n_test,n_features,mae_ppb,sesgo_ppb,sigma_residuo_ppb,p95_residuo_ppb,epocas_ejecutadas
CUT,6445,1604,66,7.0550523,0.46818677,9.496897,19.47452,13
VIF,6040,1568,66,7.156708,0.9197395,9.724473,21.792425,16
TLI,5957,1664,66,7.596319,-2.150023,10.747541,24.803623,18
ACO,5630,59,66,7.6730914,-6.5833726,7.0300865,19.068253,19
MER,5727,1601,66,7.931179,3.055866,11.805843,27.90199,9
INN,6001,1562,66,7.957508,1.9589847,10.4594965,21.71946,10
SAG,6333,1511,66,8.1492815,-2.0615132,10.651715,21.538721,24
CAM,6222,1656,66,8.284219,-1.16683,12.333168,28.137646,13
HGM,6448,1671,66,8.636517,-2.2990012,11.33968,24.006119,15
UIZ,6338,1334,66,8.740637,-1.3224219,11.716171,24.566004,17
FAC,6518,1004,66,8.792052,0.70679003,11.615841,24.054764,12
XAL,4941,371,66,8.794417,6.644041,10.926527,28.143892,24
LLA,6202,1563,66,8.851167,-1.0933305,12.209153,26.471361,24
TLA,6362,1675,66,8.879453,5.0409503,11.179184,26.071083,12
BJU,4326,478,66,9.015379,6.13374,10.829239,26.07322,16
CCA,6764,1684,66,9.251793,2.383429,12.674294,27.142883,17
LPR,6058,1661,66,9.49203,6.830412,11.828187,28.484936,12
GAM,5838,561,66,9.786598,6.6289268,11.997412,29.075672,11
MGH,6509,1385,66,10.323986,-3.2321715,14.803588,33.63739,31
UAX,5605,1153,66,10.365004,2.3796754,14.371412,31.80385,10
PED,6436,1682,66,10.679234,2.1846073,13.628322,28.930923,16
CUA,2784,1553,66,11.048973,0.17100224,14.488172,29.021095,9
SAC,3412,1430,66,11.068353,5.9317493,14.36034,34.06065,20
NEZ,5267,1160,66,11.103513,8.339659,13.354676,35.320374,18
ATI,5856,1681,66,11.208555,8.517445,11.638302,29.015705,10
MPA,4966,762,66,12.512087,-4.9581137,16.081182,34.56041,14
AJM,6049,1671,66,12.546307,-0.043422844,16.400284,32.718098,9
