estacion,n_horas,max_2025,p50_diario,p95_diario,>58,>90,>135,>175,vuln_bit5,dias_>140,dias_>155
AJM,7765,164,93,131,291,180,12,0,104,11,2
CCA,8491,149,92,129,322,195,12,0,116,7,0
BJU,4804,166,92,140,182,107,18,0,69,10,1
PED,8157,164,92,135,302,182,17,0,112,11,1
HGM,8164,162,89,133,296,170,15,0,118,12,1
CUA,4361,166,89,137,164,91,13,0,62,6,1
IZT,4662,160,88,131,184,96,7,0,81,4,1
UAX,6796,164,87,137,249,131,17,0,111,9,2
MGH,7918,159,86,131,294,153,9,0,128,5,1
MPA,5728,138,84,121,214,91,2,0,106,0,0
GAM,6420,167,82,128,227,110,9,0,109,7,1
SAC,4866,152,82,117,183,82,3,0,86,1,0
UIZ,7717,150,82,124,283,127,7,0,144,4,0
FAC,7567,166,81,127,265,115,6,0,131,4,1
CAM,7923,155,81,126,284,128,9,0,139,5,1
MER,7373,149,80,123,247,104,3,0,122,1,0
AJU,2422,141,80,106,92,28,1,0,61,1,0
NEZ,6451,144,80,116,243,96,2,0,133,1,0
TLA,8081,168,79,122,279,106,8,0,154,4,2
FAR,6210,139,78,112,224,73,1,0,136,0,0
CHO,3008,127,77,106,105,38,0,0,58,0,0
TLI,7666,153,76,117,256,89,3,0,142,2,0
SAG,7865,149,74,111,264,75,5,0,162,3,0
CUT,8094,134,74,110,272,80,0,0,164,0,0
ATI,7585,153,74,117,246,74,2,0,136,2,0
XAL,5312,154,74,116,183,53,3,0,116,3,0
MON,5301,131,74,107,181,53,0,0,105,0,0
TAH,5584,126,73,105,173,51,0,0,106,0,0
ACO,5710,137,69,103,174,40,1,0,115,0,0
VIF,7653,141,69,109,242,59,1,0,152,1,0
LLA,7799,156,69,106,239,43,1,0,161,1,1
LPR,7764,129,66,103,206,44,0,0,138,0,0
INN,7606,115,58,96,165,31,0,0,101,0,0
