fecha,timestamp_maximo,hora,estacion_maximo,valor_original_ppb,bit,delta_ppb,valor_recibido_ppb,banda_original,banda_recibida,cambio_banda,contingencia_real_fase1,falsa_fase1,anulada_fase1,cruce_fase2_instantaneo,anulacion_fase2_instantanea,en_test_lstm
2025-01-01,2025-01-01 13:00:00,13,UAX,112,3,8,120,2,2,0,0,0,0,0,0,False
2025-01-01,2025-01-01 13:00:00,13,UAX,112,4,16,96,2,2,0,0,0,0,0,0,False
2025-01-01,2025-01-01 13:00:00,13,UAX,112,5,32,80,2,1,1,0,0,0,0,0,False
2025-01-01,2025-01-01 13:00:00,13,UAX,112,6,64,48,2,0,1,0,0,0,0,0,False
2025-01-01,2025-01-01 13:00:00,13,UAX,112,7,128,240,2,4,1,0,1,0,1,0,False
2025-01-02,2025-01-02 16:00:00,16,UAX,83,3,8,91,1,2,1,0,0,0,0,0,False
2025-01-02,2025-01-02 16:00:00,16,UAX,83,4,16,67,1,1,0,0,0,0,0,0,False
2025-01-02,2025-01-02 16:00:00,16,UAX,83,5,32,115,1,2,1,0,0,0,0,0,False
2025-01-02,2025-01-02 16:00:00,16,UAX,83,6,64,19,1,0,1,0,0,0,0,0,False
2025-01-02,2025-01-02 16:00:00,16,UAX,83,7,128,211,1,4,1,0,1,0,1,0,False
2025-01-03,2025-01-03 16:00:00,16,AJU,83,3,8,91,1,2,1,0,0,0,0,0,False
2025-01-03,2025-01-03 16:00:00,16,AJU,83,4,16,67,1,1,0,0,0,0,0,0,False
2025-01-03,2025-01-03 16:00:00,16,AJU,83,5,32,115,1,2,1,0,0,0,0,0,False
2025-01-03,2025-01-03 16:00:00,16,AJU,83,6,64,19,1,0,1,0,0,0,0,0,False
2025-01-03,2025-01-03 16:00:00,16,AJU,83,7,128,211,1,4,1,0,1,0,1,0,False
2025-01-04,2025-01-04 15:00:00,15,CCA,84,3,8,92,1,2,1,0,0,0,0,0,False
2025-01-04,2025-01-04 15:00:00,15,CCA,84,4,16,68,1,1,0,0,0,0,0,0,False
2025-01-04,2025-01-04 15:00:00,15,CCA,84,5,32,116,1,2,1,0,0,0,0,0,False
2025-01-04,2025-01-04 15:00:00,15,CCA,84,6,64,20,1,0,1,0,0,0,0,0,False
2025-01-04,2025-01-04 15:00:00,15,CCA,84,7,128,212,1,4,1,0,1,0,1,0,False
2025-01-05,2025-01-05 13:00:00,13,LLA,77,3,8,69,1,1,0,0,0,0,0,0,False
2025-01-05,2025-01-05 13:00:00,13,LLA,77,4,16,93,1,2,1,0,0,0,0,0,False
2025-01-05,2025-01-05 13:00:00,13,LLA,77,5,32,109,1,2,1,0,0,0,0,0,False
2025-01-05,2025-01-05 13:00:00,13,LLA,77,6,64,13,1,0,1,0,0,0,0,0,False
2025-01-05,2025-01-05 13:00:00,13,LLA,77,7,128,205,1,4,1,0,1,0,1,0,False
2025-01-06,2025-01-06 14:00:00,14,UIZ,83,3,8,91,1,2,1,0,0,0,0,0,False
2025-01-06,2025-01-06 14:00:00,14,UIZ,83,4,16,67,1,1,0,0,0,0,0,0,False
2025-01-06,2025-01-06 14:00:00,14,UIZ,83,5,32,115,1,2,1,0,0,0,0,0,False
2025-01-06,2025-01-06 14:00:00,14,UIZ,83,6,64,19,1,0,1,0,0,0,0,0,False
2025-01-06,2025-01-06 14:00:00,14,UIZ,83,7,128,211,1,4,1,0,1,0,1,0,False
2025-01-07,2025-01-07 14:00:00,14,PED,67,3,8,75,1,1,0,0,0,0,0,0,False
2025-01-07,2025-01-07 14:00:00,14,PED,67,4,16,83,1,1,0,0,0,0,0,0,False
2025-01-07,2025-01-07 14:00:00,14,PED,67,5,32,99,1,2,1,0,0,0,0,0,False
2025-01-07,2025-01-07 14:00:00,14,PED,67,6,64,3,1,0,1,0,0,0,0,0,False
2025-01-07,2025-01-07 14:00:00,14,PED,67,7,128,195,1,4,1,0,1,0,0,0,False
2025-01-08,2025-01-08 14:00:00,14,TLA,80,3,8,88,1,1,0,0,0,0,0,0,False
2025-01-08,2025-01-08 14:00:00,14,TLA,80,4,16,64,1,1,0,0,0,0,0,0,False
2025-01-08,2025-01-08 14:00:00,14,TLA,80,5,32,112,1,2,1,0,0,0,0,0,False
2025-01-08,2025-01-08 14:00:00,14,TLA,80,6,64,16,1,0,1,0,0,0,0,0,False
2025-01-08,2025-01-08 14:00:00,14,TLA,80,7,128,208,1,4,1,0,1,0,1,0,False
2025-01-09,2025-01-09 15:00:00,15,AJU,45,3,8,37,0,0,0,0,0,0,0,0,False
2025-01-09,2025-01-09 15:00:00,15,AJU,45,4,16,61,0,1,1,0,0,0,0,0,False
2025-01-09,2025-01-09 15:00:00,15,AJU,45,5,32,13,0,0,0,0,0,0,0,0,False
2025-01-09,2025-01-09 15:00:00,15,AJU,45,6,64,109,0,2,1,0,0,0,0,0,False
2025-01-09,2025-01-09 15:00:00,15,AJU,45,7,128,173,0,3,1,0,1,0,0,0,False
2025-01-10,2025-01-10 12:00:00,12,AJU,36,3,8,44,0,0,0,0,0,0,0,0,False
2025-01-10,2025-01-10 12:00:00,12,AJU,36,4,16,52,0,0,0,0,0,0,0,0,False
2025-01-10,2025-01-10 12:00:00,12,AJU,36,5,32,4,0,0,0,0,0,0,0,0,False
2025-01-10,2025-01-10 12:00:00,12,AJU,36,6,64,100,0,2,1,0,0,0,0,0,False
